ngram,freq
CHAPTER,0.0006495253332578208
I,0.007350078226211799
WELL,0.001382232384943755
PRINCE,0.0033467367988843032
SO,0.0033308083847172175
GENOA,5.309471389028509e-06
AND,0.03931309598816342
LUCCA,3.539647592685672e-06
ARE,0.002247676221355402
NOW,0.0023591751205250004
JUST,0.001005259916322731
FAMILY,0.0002442356838953114
ESTATES,6.902312805737061e-05
OF,0.026345597032359457
THE,0.06113856304466327
BUONAPARTES,3.539647592685672e-06
BUT,0.007167786375188486
WARN,1.0618942778057017e-05
YOU,0.00637136566683421
IF,0.00229015199246763
DONT,0.0009380066120617031
TELL,0.0006636839236285636
ME,0.0022565253403371162
THAT,0.013967449400737663
THIS,0.003672384377411385
MEANS,0.00012388766574399852
WAR,0.0005220980199211366
STILL,0.0011910914149387288
TRY,0.00012565748954034136
TO,0.029508272156424105
DEFEND,3.185682833417105e-05
INFAMIES,1.769823796342836e-06
HORRORS,1.4158590370742689e-05
PERPETRATED,5.309471389028509e-06
BY,0.004247577111222807
ANTICHRIST,8.84911898171418e-06
REALLY,0.00035927423065759576
BELIEVE,0.00021945815074651167
HE,0.01746639104610745
IS,0.0058775848276545585
WILL,0.0018813226955124347
HAVE,0.003497171821573444
NOTHING,0.000831817184281133
MORE,0.0018671641051416922
DO,0.0018406167481965496
WITH,0.01002251215868948
NO,0.0024795231386763135
LONGER,0.00031148898815633915
MY,0.002169803974316317
FRIEND,0.00029733039778559646
FAITHFUL,2.1237885556114034e-05
SLAVE,1.9468061759771197e-05
AS,0.007125310604076258
CALL,0.00016105396546719808
YOURSELF,0.0002070693841721118
HOW,0.0017680539725464933
SEE,0.0012937411951266132
FRIGHTENED,0.0002070693841721118
SIT,0.0001221178419476557
DOWN,0.0012353370098472996
ALL,0.00493603856800017
NEWS,0.00030263986917462496
IT,0.009236710393113261
WAS,0.013024133317286931
IN,0.0155514416984645
JULY,2.300770935245687e-05
SPEAKER,2.4777533148799706e-05
WELLKNOWN,1.9468061759771197e-05
ANNA,0.000518558372328451
PAVLOVNA,0.0001999900889867405
SCHERER,1.0618942778057017e-05
MAID,0.0001026497801878845
HONOR,0.00027786233602582525
FAVORITE,6.548348046468493e-05
EMPRESS,4.601541870491374e-05
MARYA,0.0002017599127830833
FEDOROVNA,2.300770935245687e-05
THESE,0.0010441960398422732
WORDS,0.0006990803995554203
SHE,0.006058106854881528
GREETED,2.8317180741485377e-05
VASILI,0.0003787422924173669
KURAGIN,0.0001026497801878845
A,0.018653942813453492
MAN,0.0019184889952356342
HIGH,0.00021945815074651167
RANK,5.3094713890285086e-05
IMPORTANCE,8.31817184281133e-05
WHO,0.003801581514544412
FIRST,0.0011149889916959867
ARRIVE,3.716629972319956e-05
AT,0.008020841445025734
HER,0.0083624174377199
RECEPTION,8.495154222445614e-05
HAD,0.009495104667379316
COUGH,1.2388766574399853e-05
FOR,0.006235089234515811
SOME,0.0014972709317060393
DAYS,0.0003734328210283384
SAID,0.00502983922920634
SUFFERING,0.00012919713713302702
FROM,0.004767905307347601
LA,7.610242324274196e-05
GRIPPE,3.539647592685672e-06
BEING,0.0008176585939103902
THEN,0.0016654041923586087
NEW,0.0005061696057540511
WORD,0.0004141387683442236
ST,7.256277565005628e-05
PETERSBURG,0.000431837006307652
USED,0.00023361674111725437
ONLY,0.002297231287653001
ELITE,1.769823796342836e-06
INVITATIONS,7.079295185371344e-06
WITHOUT,0.0011804724721606718
EXCEPTION,3.0087004537828214e-05
WRITTEN,0.00011149889916959868
FRENCH,0.0015592147645780386
DELIVERED,1.9468061759771197e-05
SCARLET,7.079295185371344e-06
LIVERIED,3.539647592685672e-06
FOOTMAN,8.31817184281133e-05
MORNING,0.00036989317343565277
RAN,0.0004654636584381659
FOLLOWS,3.362665213051389e-05
BETTER,0.00028671145500753944
COUNT,0.0011627742341972433
OR,0.0026972114656264824
PROSPECT,1.0618942778057017e-05
SPENDING,1.9468061759771197e-05
AN,0.00288304296424248
EVENING,0.0003822819400100526
POOR,0.00013627643231839837
INVALID,2.300770935245687e-05
NOT,0.008273926247902758
TOO,0.0006937709281663917
TERRIBLE,0.00027786233602582525
SHALL,0.0004371464776966805
BE,0.00431837006307652
VERY,0.0014211685084632973
CHARMED,5.309471389028509e-06
TONIGHT,2.4777533148799706e-05
BETWEEN,0.0004247577111222807
,0.00045838436325279454
ANNETTE,1.769823796342836e-05
HEAVENS,3.185682833417105e-05
WHAT,0.004123689445478808
VIRULENT,3.539647592685672e-06
ATTACK,0.00018760132241234064
REPLIED,0.0005327169626991937
LEAST,0.00015043502268914107
DISCONCERTED,2.1237885556114034e-05
ENTERED,0.0003840517638063954
WEARING,0.0001221178419476557
EMBROIDERED,1.2388766574399853e-05
COURT,0.00011680837055862718
UNIFORM,0.00016813326065256943
KNEE,4.7785242501256574e-05
BREECHES,3.362665213051389e-05
SHOES,4.070594731588523e-05
STARS,3.185682833417105e-05
ON,0.00708283483296403
HIS,0.014130273190001203
BREAST,7.610242324274196e-05
SERENE,6.725330426102778e-05
EXPRESSION,0.0005327169626991937
FLAT,1.4158590370742689e-05
FACE,0.0015804526501341527
SPOKE,0.00029733039778559646
REFINED,1.9468061759771197e-05
WHICH,0.003640527549077214
OUR,0.001100830401325244
GRANDFATHERS,1.769823796342836e-06
THOUGHT,0.0013574548517949552
GENTLE,7.433259944639911e-05
PATRONIZING,7.079295185371344e-06
INTONATION,1.0618942778057017e-05
NATURAL,7.433259944639911e-05
GROWN,0.0001274273133366842
OLD,0.001445946041612097
SOCIETY,0.00023715638870994003
